date,time,tweets
Jan. 20,7:31 a.m.,It all begins today! I will see you at 11:00 A.M. for the swearing-in. THE MOVEMENT CONTINUES - THE WORK BEGINS!
Jan. 20,12:51 p.m.," Today we are not merely transferring power from one Administration to another, or from one party to another – but we are transferring…"
Jan. 20,12:51 p.m.," power from Washington, D.C. and giving it back to you, the American People. #InaugurationDay"
Jan. 20,12:52 p.m.," What truly matters is not which party controls our government, but whether our government is controlled by the people."
Jan. 20,12:53 p.m.," January 20th 2017, will be remembered as the day the people became the rulers of this nation again."
Jan. 20,12:54 p.m.," The forgotten men and women of our country will be forgotten no longer. From this moment on, it’s going to be #AmericaFirst"
Jan. 20,12:54 p.m., We will bring back our jobs. We will bring back our borders. We will bring back our wealth - and we will bring back our dreams!
Jan. 20,12:55 p.m., We will follow two simple rules: BUY AMERICAN & HIRE AMERICAN! #InaugurationDay #MAGA
Jan. 20,12:58 p.m., It is time to remember that... facebook.com/DonaldTrump/po…
Jan. 20,1:00 p.m.,"So to all Americans, in every city near and far, small and large, from mountain to mountain... facebook.com/DonaldTrump/po..."
Jan. 20,1:13 p.m.,TO ALL AMERICANS facebook.com/DonaldTrump/po…
Jan. 20,11:56 p.m.," THANK YOU for another wonderful evening in Washington, D.C. TOGETHER, we will MAKE AMERICA GREAT AGAIN"
,12:09 a.m.," I am honered to serve you, the great American People, as your 45th President of the United States!"
Jan. 21,6:53 a.m.,A fantastic day and evening in Washington D.C.Thank you to @FoxNews and so many other news outlets for the GREAT reviews of the speech!
,12:09 p.m.," I am honored to serve you, the great American People, as your 45th President of the United States!"
Jan. 21,6:54 p.m.,RT @WhiteHouse: “Do not allow anyone to tell you that it cannot be done. No challenge can match the HEART and FIGHT and SPIRIT of America.” - @POTUS
Jan. 22,7:35 a.m.,"Had a great meeting at CIA Headquarters yesterday, packed house, paid great respect to Wall, long standing ovations, amazing people. WIN!"
Jan. 22,7:47 a.m.,Watched protests yesterday but was under the impression that we just had an election! Why didn’t these people vote? Celebs hurt cause badly.
Jan. 22,7:51 a.m.,"Wow, television ratings just out: 31 million people watched the Inauguration, 11 million more than the very good ratings from 4 years ago!"
Jan. 23,6:38 a.m.,Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufacturing in America.
Jan. 24,6:11 a.m.,Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here for cars sold here!
Jan. 24,11:58 a.m., A photo delivered yesterday that will be displayed in the upper/lower press hall. Thank you Abbas!
Jan. 24,12:04 p.m.," Great meeting with automobile industry leaders at the @WhiteHouse this morning. Together, we will #MAGA!"
Jan. 24,12:49 p.m., Signing orders to move forward with the construction of the Keystone XL and Dakota Access pipelines in the Oval Office.
Jan. 24,7:46 p.m.,Great meeting with Ford CEO Mark Fields and General Motors CEO Mary Barra at the @WhiteHouse today.
Jan. 24,9:16 p.m.,Congratulations to @FoxNews for being number one in inauguration ratings. They were many times higher than FAKE NEWS @CNN - public is smart!
Jan. 24,9:25 p.m.,"If Chicago doesn’t fix the horrible “carnage” going on, 228 shootings in 2017 with 42 killings (up 24% from 2016), I will send in the Feds!"
Jan. 24,9:37 p.m.,"Big day planned on NATIONAL SECURITY tomorrow. Among many other things, we will build the wall!"
Jan. 25,7:10 a.m.,"I will be asking for a major investigation into VOTER FRAUD, including those registered to vote in two states, those who are illegal and...."
Jan. 25,7:13 a.m.,"even, those registered to vote who are dead (and many for a long time). Depending on results, we will strengthen up voting procedures!"
Jan. 25,7:17 a.m.,I will be making my Supreme Court pick on Thursday of next week.Thank you!
Jan. 25,5:05 p.m.,I will be interviewed by @DavidMuir tonight at 10 o’clock on @ABC. Will be my first interview from the White House. Enjoy!
Jan. 25,7:03 p.m.,"Beginning today, the United States of America gets back control of its borders. Full speech from today @DHSgov: bit.ly/2jSZomhDHS"
Jan. 25,9:14 p.m.,"As your President, I have no higher duty than to protect the lives of the American people."
Jan. 25,9:45 p.m.,“@romoabcnews: .@DavidMuir first @POTUS interview since taking office. Tonight on @ABCWorldNews @ABC2020 tonight.”
Jan. 25,9:48 p.m.,Interview with David Muir of @ABC News in 10 minutes. Enjoy!
Jan. 26,6:04 a.m.,"Ungrateful TRAITOR Chelsea Manning, who should never have been released from prison, is now calling President Obama a weak leader. Terrible!"
Jan. 26,8:51 a.m.,The U.S. has a 60 billion dollar trade deficit with Mexico. It has been a one-sided deal from the beginning of NAFTA with massive numbers…
Jan. 26,8:55 a.m.,"of jobs and companies lost. If Mexico is unwilling to pay for the badly needed wall, then it would be better to cancel the upcoming meeting."
,2:15 p.m.,"Spoke at the Congressional @GOP Retreat in Philadelphia, PA. this afternoon w/ @VP, @SenMajLeader, @SpeakerRyan. Thank you for your support!"
Jan. 26,2:21 p.m.,"Spoke at the Congressional @GOP Retreat in Philadelphia, PA. this afternoon w/ @VP,  @SenateMajLdr, @SpeakerRyan. Thank you for your support!"
Jan. 26,6:45 p.m.,Will be interviewed by @SeanHannity on @FoxNews at 10:00pm tonight. Enjoy!
Jan. 26,6:53 p.m.,Miami-Dade Mayor drops sanctuary policy. Right decision. Strong!  www.miamiherald.com/ne…
Jan. 27,8:12 a.m.,"Look forward to seeing final results of VoteStand. Gregg Phillips and crew say at least 3,000,000 votes were illegal. We must do better!"
Jan. 27,8:19 a.m.,"Mexico has taken advantage of the U.S. for long enough. Massive trade deficits & little help on the very weak border must change, NOW!"
Jan. 27,11:27 a.m., The #MarchForLife is so important. To all of you marching --- you have my full support!
Jan. 27,11:30 a.m., .@VP Mike Pence will be speaking at today’s #MarchForLife -- You have our full support! “@VP: Honored to meet with Pro-Life leaders in my office tonight. Just told them I look forward to addressing National @March_for_Life on Friday.”
Jan. 27,3:20 p.m.,Statement on International Holocaust Remembrance Day: whitehouse.gov/the-press-offi...
Jan. 27,5:00 p.m.,Congratulations Secretary Mattis!
Jan. 27,6:46 p.m.,I promise that our administration will ALWAYS have your back. We will ALWAYS be with you!
Jan. 28,8:04 a.m.,"The failing @nytimes has been wrong about me from the very beginning. Said I would lose the primaries, then the general election. FAKE NEWS!"
Jan. 28,8:08 a.m.,Thr coverage about me in the @nytimes and the @washingtonpost gas been so false and angry that the times actually apologized to its.....
Jan. 28,8:16 a.m.,"...dwindling subscribers and readers.They got me wrong right from the beginning and still have not changed course, and never will. DISHONEST"
Jan. 28,10:42 a.m.," Today, we remember the crew of the Space Shuttle Challenger, 31 years later. #NeverForget"
,5:50 p.m.,I will be interviewed by @TheBrodyFile on @CBNNews tonight at 11pm. Enjoy!
Jan. 29,8:00 a.m.,Somebody with aptitude and conviction should buy the FAKE NEWS and failing @nytimes and either run it correctly or let it fold with dignity!
Jan. 29,8:08 a.m.,"Our country needs strong borders and extreme vetting, NOW. Look what is happening all over Europe and, indeed, the world - a horrible mess!"
Jan. 29,4:45 p.m.,The joint statement of former presidential candidates John McCain & Lindsey Graham is wrong - they are sadly weak on immigration. The two…
Jan. 29,4:49 p.m.,"...Senators should focus their energies on ISIS, illegal immigration and border security instead of always looking to start World War III."
Jan. 29,6:28 p.m.,Statement Regarding Recent Executive Order Concerning Extreme Vetting: facebook.com/DonaldTrump/po…
Jan. 29,6:39 p.m.,I will be interviewed by @TheBrodyFile on @CBNNews tonight at 11pm. Enjoy!
Jan. 30,7:16 a.m.,"Only 109 people out of 325,000 were detained and held for questioning. Big problems at airports were caused by Delta computer outage,....."
Jan. 30,7:20 a.m.,protesters and the tears of Senator Schumer. Secretary Kelly said that all is going well with very few problems. MAKE AMERICA SAFE AGAIN!
Jan. 30,7:27 a.m.,There is nothing nice about searching for terrorists before they can enter our country. This was a big part of my campaign. Study the world!
Jan. 30,8:31 a.m.,"If the ban were announced with a one week notice, the “bad” would rush into our country during that week. A lot of bad “dudes” out there!"
Jan. 30,8:43 a.m.,I have made my decision on who I will nominate for The United States Supreme Court. It will be announced live on Tuesday at 8:00 P.M. (W.H.)
Jan. 30,9:23 a.m.,Where was all the outrage from Democrats and the opposition party (the media) when our jobs were fleeing our country?
Jan. 30,4:07 p.m.,"The American dream is back. We’re going to create an environment for small business like we haven’t had in many,  many, many decades!"
Jan. 30,7:45 p.m.,The Democrats are delaying my cabinet picks for purely political reasons. They have nothing going but to obstruct. Now have an Obama A.G.
Jan. 30,6:21 a.m.,Nancy Pelosi and Fake Tears Chuck Schumer held a rally at the steps of The Supreme Court and mic did not work (a mess)-just like Dem party!
Jan. 30,6:27 a.m.,When will the Democrats give us our Attorney General and rest of Cabinet! They should be ashamed of themselves! No wonder D.C. doesn’t work!
Jan. 30,7:31 p.m.,Getting ready to deliver a VERY IMPORTANT DECISION! 8:00 P.M.
Jan. 30,8:01 p.m.,Join me live from the @WhiteHouse. facebook.com/POTUS/videos/1…
Jan. 30,10:45 p.m.," Hope you like my nomination of Judge Neil Gorsuch for the United States Supreme Court. He is a good and brilliant man, respected by all."
Feb. 1,10:06 p.m., Iran is rapidly taking over more and more of Iraq even after the U.S. has squandered three trillion dollars there. Obvious long ago!
Feb. 1,10:55 p.m., Do you believe it? The Obama Administration agreed to take thousands of illegal immigrants from Australia. Why? I will study this dumb deal!
Feb. 2,6:13 a.m.,If U.C. Berkeley does not allow free speech and practices violence on innocent people with a different point of view - NO FEDERAL FUNDS?
Feb. 2,6:18 a.m.,Congratulations to Rex Tillerson on being sworn in as our new Secretary of State. He will be a star!
Feb. 2,6:25 a.m.,Attending Chief Ryan Owens’ Dignified Transfer yesterday with my daughter Ivanka was my great honor. To a great and brave man - thank you!
Feb. 2,6:34 a.m.,Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the U.S. made with them!
Feb. 2,6:39 a.m.,Iran was on its last legs and ready to collapse until the U.S. came along and gave it a life-line in the form of the Iran Deal: $150 billion
Feb. 2,12:29 p.m.," Thank you, @Samsung! We would love to have you! axios.com/trump-effect-sams..."
Feb. 3,6:24 a.m.,"Yes, Arnold Schwarzenegger did a really bad job as Governor of California and even worse on the Apprentice...but at least he tried hard!"
Feb. 3,6:28 a.m.,Iran is playing with fire - they don’t appreciate how “kind” President Obama was to them. Not me!
Feb. 3,6:34 a.m.,Thank you to Prime Minister of Australia for telling the truth about our very civil conversation that FAKE NEWS media lied about. Very nice!
Feb. 3,6:41 a.m.,"Meeting with biggest business leaders this morning. Good jobs are coming back to U.S., health care and tax bills are being crafted NOW!"
Feb. 3,6:48 a.m.,"Professional anarchists, thugs and paid protesters are proving the point of the millions of people who voted to MAKE AMERICA GREAT AGAIN!"
Feb. 3,7:51 a.m.,A new radical Islamic terrorist has just attacked in Louvre Museum in Paris. Tourists were locked down. France on edge again. GET SMART U.S.
Feb. 3,6:08 p.m.,We must keep “evil” out of our country!
Feb. 3,10:07 p.m., Countries charge U.S. companies taxes or tariffs while the U.S. charges them nothing or little.We should charge them SAME as they charge us!
Feb. 4,7:59 a.m.,"When a country is no longer able to say who can, and who cannot , come in & out, especially for reasons of safety &.security - big trouble!"
Feb. 4,8:06 a.m.,Interesting that certain Middle-Eastern countries agree with the ban. They know if certain people are allowed in it’s death & destruction!
