title,runtime
 All Saints (2017),108 min
 Birth of the Dragon (2016),103 min
 Leap! (2016),89 min
 Terminator 2: Judgment Day (1991) - [Re-release],137 min
 Tulip Fever (2017) - [Limited],107 min
 Beach Rats (2017) - [Limited],95 min
" Polina, danser sa vie (2016) - [Limited]",108 min
 A Gentleman (2017) - [Limited],145 min
 Ghost House (2017) - [Limited],89 min
 Red Christmas (2016) - [Limited],82 min
 Served Like a Girl (2017) - [Limited],103 min
 Ak-Nyeo (2017) - [Limited],129 min
 The Hitman's Bodyguard (2017),118 min
 Annabelle: Creation (2017),109 min
 Logan Lucky (2017),118 min
 Dunkirk (2017),106 min
 The Nut Job 2: Nutty by Nature (2017),91 min
 The Emoji Movie (2017),86 min
 Spider-Man: Homecoming (2017),133 min
 Girls Trip (2017),122 min
 The Dark Tower (2017),95 min
 Wind River (2017),107 min
